Latitude,Longitude,Date,Time,Frp
10.3856,29.86,2010-01-01,0001,302.9
6.642,24.8331,2010-01-01,0002,351.9
4.9904,31.8982,2010-01-01,0746,321.9
8.033,15.1775,2010-01-01,0924,328.1
8.4743,21.6694,2010-01-01,0924,312.2
9.6734,18.8308,2010-01-01,0924,333.5
8.7684,13.0979,2010-01-01,0924,319.4
5.9412,16.3404,2010-01-01,0925,312.8
7.4323,33.5742,2010-01-01,1049,328.1
10.3613,36.5997,2010-01-01,1049,327.3
10.9115,-9.8358,2010-01-01,1102,322.6
11.2799,-1.9051,2010-01-01,1102,320.9
10.0539,-7.4345,2010-01-01,1103,321
9.0511,-10.7099,2010-01-01,1103,314.6
4.3652,14.9795,2010-01-01,1227,321.5
4.9026,14.8126,2010-01-01,1227,324.8
5.6687,17.1114,2010-01-01,1227,349.9
6.0227,16.1097,2010-01-01,1227,314.7
6.5905,16.5997,2010-01-01,1227,320.4
6.3937,12.3523,2010-01-01,1227,318.5
7.2274,14.7671,2010-01-01,1227,320.4
7.7543,15.1608,2010-01-01,1227,357.9
8.0577,14.4106,2010-01-01,1228,326.4
8.5315,14.247,2010-01-01,1228,327.5
9.8941,17.1895,2010-01-01,1228,352.6
7.8289,-6.3709,2010-01-01,1406,324.8
10.6652,-11.2396,2010-01-01,1407,322.1
11.631,-10.6917,2010-01-01,1407,319.7
9.6525,-4.8694,2010-01-01,1407,321.6
9.7183,-8.9065,2010-01-01,1407,318.5
9.8608,-10.714,2010-01-01,1407,319.6
10.8091,-8.9393,2010-01-01,1407,326.8
13.2279,-11.709,2010-01-01,1408,338
6.1836,33.1462,2010-01-01,2011,327.6
8.6499,32.499,2010-01-01,2012,304.1
10.4317,35.6092,2010-01-01,2305,313.2
10.1271,35.0188,2010-01-02,0828,315
7.538,33.8674,2010-01-02,0829,324.6
7.6045,23.8347,2010-01-02,0829,317.4
6.1575,28.679,2010-01-02,0829,321.1
5.0293,30.481,2010-01-02,0829,327.4
11.0562,4.9293,2010-01-02,1007,319.2
10.0557,4.1287,2010-01-02,1007,325.6
7.6344,11.8347,2010-01-02,1007,320.7
6.6937,7.7899,2010-01-02,1008,315
4.2741,32.593,2010-01-02,1131,367.6
4.1238,25.7323,2010-01-02,1131,327.5
5.5194,29.2662,2010-01-02,1131,369.2
6.7915,33.224,2010-01-02,1131,327.7
6.3841,26.7066,2010-01-02,1132,323.2
6.7022,25.4039,2010-01-02,1132,324.8
8.3812,31.3147,2010-01-02,1132,332.9
7.3779,19.9392,2010-01-02,1132,315.7
8.7958,20.8352,2010-01-02,1132,318.2
12.2557,-11.6346,2010-01-02,1145,346.9
5.4435,13.855,2010-01-02,1310,316.9
6.2707,8.47,2010-01-02,1310,332
6.8799,8.0571,2010-01-02,1310,324.5
6.3418,1.0273,2010-01-02,1310,318.5
9.8473,4.8758,2010-01-02,1311,328.6
9.0323,-4.0174,2010-01-02,1311,321.9
7.7627,8.1126,2010-01-02,1311,338.7
7.7787,2.6589,2010-01-02,1311,328.5
8.8514,5.5743,2010-01-02,1311,323.4
8.2672,-1.794,2010-01-02,1311,316.6
11.1009,1.6879,2010-01-02,1312,331.5
12.6313,-11.5586,2010-01-02,1451,327.1
7.0662,24.7492,2010-01-02,2054,306
14.991,-11.419,2010-01-02,2236,306.3
11.1806,21.1571,2010-01-03,0911,336.8
9.6989,15.264,2010-01-03,0912,316.9
8.5368,17.737,2010-01-03,0912,322.4
6.7893,25.6758,2010-01-03,0912,349.8
7.5959,14.5444,2010-01-03,0912,319.2
5.18,17.2696,2010-01-03,0913,335.5
13.0584,-11.6567,2010-01-03,1050,317.8
11.2774,-6.4382,2010-01-03,1050,319.7
10.3171,-5.6488,2010-01-03,1050,325.6
9.2471,-2.9973,2010-01-03,1050,328.9
8.7385,-4.0384,2010-01-03,1050,336.9
7.9355,-4.6577,2010-01-03,1051,322.7
3.9648,22.5445,2010-01-03,1214,331
4.6398,20.8152,2010-01-03,1214,315.2
4.5928,17.0973,2010-01-03,1214,341.3
4.8829,17.2614,2010-01-03,1214,319.7
5.0646,16.9676,2010-01-03,1214,327.2
6.6818,27.103,2010-01-03,1214,337
5.2567,15.5077,2010-01-03,1214,333.5
5.5966,15.7858,2010-01-03,1215,323.8
5.6403,14.1974,2010-01-03,1215,331
6.2214,16.0934,2010-01-03,1215,317.8
6.5665,16.1974,2010-01-03,1215,332.8
7.6663,20.6174,2010-01-03,1215,327.1
7.813,18.737,2010-01-03,1215,323.7
8.8485,22.6572,2010-01-03,1215,331.5
8.3054,14.6864,2010-01-03,1215,367
9.1986,15.0279,2010-01-03,1216,339.7
6.9249,-0.3743,2010-01-03,1353,317.5
7.8582,-0.4015,2010-01-03,1354,323.1
8.3751,0.8941,2010-01-03,1354,319.9
8.2769,-2.339,2010-01-03,1354,323.1
8.1528,-5.7954,2010-01-03,1354,324.4
8.6859,-4.1081,2010-01-03,1354,324.3
8.9597,-4.1277,2010-01-03,1354,345.2
8.8245,-7.1246,2010-01-03,1354,345.5
9.0243,-7.9348,2010-01-03,1354,320.5
9.7309,-5.0576,2010-01-03,1354,323
9.5787,-8.3833,2010-01-03,1355,317.1
9.3989,-11.1349,2010-01-03,1355,313.5
10.6446,-4.3001,2010-01-03,1355,328.8
10.2411,-9.217,2010-01-03,1355,321.4
10.6402,-9.6105,2010-01-03,1355,322.8
12.0475,-5.6602,2010-01-03,1355,327.1
12.4444,-11.4392,2010-01-03,1355,330.1
6.2659,32.982,2010-01-03,1959,315
9.9898,13.5686,2010-01-03,2138,306.9
12.0517,35.8724,2010-01-04,0815,321.6
8.4037,27.1875,2010-01-04,0816,319.4
7.1667,23.7351,2010-01-04,0817,316.8
5.0567,31.5328,2010-01-04,0817,323.5
11.2788,15.0218,2010-01-04,0954,326.1
10.545,3.1026,2010-01-04,0955,321.8
8.0974,14.387,2010-01-04,0955,332
7.8087,9.517,2010-01-04,0955,338.7
6.1615,14.703,2010-01-04,0955,313.7
4.8724,14.7981,2010-01-04,0956,317.1
3.9592,31.4658,2010-01-04,1118,320.5
4.5056,28.6559,2010-01-04,1119,315.7
5.804,30.3271,2010-01-04,1119,369.1
7.3459,34.2591,2010-01-04,1119,340.7
6.4421,25.6424,2010-01-04,1119,326.9
7.8638,30.8963,2010-01-04,1120,332.1
9.2987,34.9482,2010-01-04,1120,340.5
8.5375,24.0248,2010-01-04,1120,333.5
13.7393,-10.1718,2010-01-04,1132,326.9
12.6817,-13.2987,2010-01-04,1133,327.3
10.0984,-7.5117,2010-01-04,1133,332.4
9.6893,-10.6789,2010-01-04,1133,326.5
4.2666,15.4841,2010-01-04,1257,318.5
5.2405,14.5923,2010-01-04,1257,316.6
5.8269,13.6183,2010-01-04,1258,321.6
7.2877,17.5895,2010-01-04,1258,321.8
7.7697,17.2378,2010-01-04,1258,319
7.3682,11.2469,2010-01-04,1258,349.6
7.7399,11.6663,2010-01-04,1258,325
8.061,12.3932,2010-01-04,1258,328.5
8.6586,14.3441,2010-01-04,1258,327.1
8.6395,9.6599,2010-01-04,1258,331.6
8.8461,7.4311,2010-01-04,1259,320.2
9.3983,8.1313,2010-01-04,1259,341.1
9.4312,5.3476,2010-01-04,1259,325
9.6781,4.4319,2010-01-04,1259,332.3
9.2776,-0.753,2010-01-04,1259,323.9
10.8978,4.2341,2010-01-04,1259,324.3
8.9265,-5.9291,2010-01-04,1437,318.5
9.6342,-8.3606,2010-01-04,1437,319.2
10.1806,-9.4579,2010-01-04,1438,327.5
11.3215,-11.0782,2010-01-04,1438,318.7
13.4495,-12.9744,2010-01-04,1439,390.5
6.7785,27.883,2010-01-04,2042,300.8
7.8096,-1.5125,2010-01-04,2221,316.8
6.1198,29.1921,2010-01-04,2337,301.7
9.5321,29.5731,2010-01-05,0859,324.1
8.488,24.6049,2010-01-05,0859,320.5
6.8007,30.498,2010-01-05,0859,349.2
6.5071,28.2543,2010-01-05,0900,332.5
